DATE,CPATAX,A053RC1Q027SBEA
1946-01-01,,
1946-04-01,,
1946-07-01,,
1946-10-01,,
1947-01-01,9.959,33.466
1947-04-01,13.603,31.668
1947-07-01,13.868,31.288
1947-10-01,14.455,34.123
1948-01-01,17.971,35.747
1948-04-01,19.109,37.589
1948-07-01,18.762,36.959
1948-10-01,20.713,35.712
1949-01-01,20.168,32.519
1949-04-01,19.144,28.692
1949-07-01,19.987,29.752
1949-10-01,16.892,29.205
1950-01-01,16.616,33.477
1950-04-01,17.781,39.923
1950-07-01,18.717,48.501
1950-10-01,20.208,53.221
1951-01-01,14.668,52.393
1951-04-01,18.564,44.593
1951-07-01,21.229,40.666
1951-10-01,21.114,43.868
1952-01-01,20.498,41.59
1952-04-01,19.757,39.667
1952-07-01,19.764,39.898
1952-10-01,22.212,43.972
1953-01-01,22.056,45.893
1953-04-01,21.133,46.034
1953-07-01,20.434,45.077
1953-10-01,17.777,35.591
1954-01-01,20.412,38.019
1954-04-01,21.235,39.141
1954-07-01,22.235,41.473
1954-10-01,24.565,44.539
1955-01-01,27.672,49.715
1955-04-01,28.727,50.444
1955-07-01,28.289,51.731
1955-10-01,28.826,53.871
1956-01-01,27.736,52.285
1956-04-01,27.546,53.542
1956-07-01,28.581,50.939
1956-10-01,28.358,53.735
1957-01-01,29.315,54.518
1957-04-01,28.933,52.239
1957-07-01,28.476,51.138
1957-10-01,26.315,46.878
1958-01-01,23.138,40.564
1958-04-01,23.932,41.276
1958-07-01,25.851,45.972
1958-10-01,28.745,52.306
1959-01-01,31.469,55.502
1959-04-01,34.115,60.398
1959-07-01,32.082,54.549
1959-10-01,33.127,53.368
1960-01-01,34.445,58.778
1960-04-01,32.68,54.428
1960-07-01,32.675,52.155
1960-10-01,31.378,50.05
1961-01-01,30.286,49.179
1961-04-01,33.057,52.095
1961-07-01,34.527,55.033
1961-10-01,37.1,59.311
1962-01-01,39.407,58.34
1962-04-01,39.661,58.026
1962-07-01,40.692,59.757
1962-10-01,43.229,60.694
1963-01-01,43.477,60.428
1963-04-01,44.817,64.064
1963-07-01,45.541,65.769
1963-10-01,46.235,67.404
1964-01-01,50.657,70.805
1964-04-01,50.92,70.797
1964-07-01,51.459,72.492
1964-10-01,51.503,71.69
1965-01-01,57.499,79.043
1965-04-01,58.813,81.806
1965-07-01,59.501,83.277
1965-10-01,62.269,88.313
1966-01-01,64.668,90.826
1966-04-01,63.743,91.204
1966-07-01,62.672,90.553
1966-10-01,64.476,88.953
1967-01-01,62.694,85.784
1967-04-01,61.809,85.602
1967-07-01,62.608,87.148
1967-10-01,64.384,91.881
1968-01-01,61.667,95.276
1968-04-01,65.05,97.59
1968-07-01,65.527,98.14
1968-10-01,66.09,100.619
1969-01-01,64.775,100.694
1969-04-01,62.864,97.803
1969-07-01,61.35,94.702
1969-10-01,56.844,93.411
1970-01-01,53.587,86.399
1970-04-01,57.314,86.35
1970-07-01,56.24,88.276
1970-10-01,52.782,84.026
1971-01-01,62.238,94.536
1971-04-01,63.423,97.736
1971-07-01,66.884,101.096
1971-10-01,70.81,103.715
1972-01-01,74.377,109.925
1972-04-01,75.95,111.285
1972-07-01,79.403,115.772
1972-10-01,82.677,126.556
1973-01-01,87.48,141.563
1973-04-01,85.213,145.069
1973-07-01,89.045,145.145
1973-10-01,89.292,152.745
1974-01-01,85.693,157.26
1974-04-01,82.261,162.207
1974-07-01,72.772,172.572
1974-10-01,73.153,154.068
1975-01-01,79.438,133.019
1975-04-01,87.52,140.826
1975-07-01,97.739,167.855
1975-10-01,105.682,177.391
1976-01-01,114.267,193.546
1976-04-01,113.771,195.931
1976-07-01,115.767,197.82
1976-10-01,115.875,197.559
1977-01-01,121.202,212.751
1977-04-01,136.491,227.171
1977-07-01,148.802,235.983
1977-10-01,142.623,238.067
1978-01-01,143.746,238.131
1978-04-01,159.716,270.75
1978-07-01,165.997,277.887
1978-10-01,173.409,294.871
1979-01-01,168.104,294.758
1979-04-01,170.326,303.309
1979-07-01,169.252,307.044
1979-10-01,166.233,300.4
1980-01-01,152.013,308.567
1980-04-01,141.837,259.369
1980-07-01,141.93,273.866
1980-10-01,154.787,287.493
1981-01-01,164.992,290.091
1981-04-01,170.249,269.173
1981-07-01,184.446,276.768
1981-10-01,182.63,264.071
1982-01-01,169.227,232.072
1982-04-01,181.393,236.016
1982-07-01,178.323,231.801
1982-10-01,176.905,221.016
1983-01-01,192.153,224.222
1983-04-01,207.293,258.631
1983-07-01,215.457,278.701
1983-10-01,231.032,286.539
1984-01-01,247.305,307.677
1984-04-01,250.532,307.55
1984-07-01,258.385,286.582
1984-10-01,266.942,288.699
1985-01-01,266.445,284.354
1985-04-01,271.461,283.403
1985-07-01,282.537,293.054
1985-10-01,265.429,292.145
1986-01-01,250.686,262.509
1986-04-01,236.423,259.631
1986-07-01,224.955,260.908
1986-10-01,214.712,278.491
1987-01-01,228.165,293.229
1987-04-01,253.045,335.736
1987-07-01,272.042,355.594
1987-10-01,279.188,357.921
1988-01-01,284.19,364.815
1988-04-01,290.036,386.624
1988-07-01,287.316,394.999
1988-10-01,306.366,414.138
1989-01-01,290.039,415.784
1989-04-01,297.398,396.129
1989-07-01,302.622,381.767
1989-10-01,287.124,381.62
1990-01-01,301.048,389.554
1990-04-01,314.909,406.69
1990-07-01,283.573,414.315
1990-10-01,290.525,412.052
1991-01-01,331.017,419.655
1991-04-01,331.815,420.589
1991-07-01,329.425,427.351
1991-10-01,331.458,434.284
1992-01-01,348.981,460.234
1992-04-01,351.069,476.926
1992-07-01,342.804,456.448
1992-10-01,354.65,473.111
1993-01-01,347.588,476.366
1993-04-01,363.517,503.128
1993-07-01,386.052,508.489
1993-10-01,405.524,560.399
1994-01-01,436.69,569.189
1994-04-01,452.366,591.648
1994-07-01,470.98,629.705
1994-10-01,485.645,653.542
1995-01-01,482.958,672.292
1995-04-01,511.485,692.346
1995-07-01,538.924,707.332
1995-10-01,555.548,710.943
1996-01-01,582.841,738.865
1996-04-01,584.751,753.681
1996-07-01,590.962,750.994
1996-10-01,610.189,767.718
1997-01-01,638.451,782.583
1997-04-01,658.411,806.995
1997-07-01,683.399,842.423
1997-10-01,680.156,836.112
1998-01-01,615.114,761.336
1998-04-01,616.661,757.345
1998-07-01,619.687,760.731
1998-10-01,601.985,739.763
1999-01-01,650.003,778.933
1999-04-01,647.382,792.128
1999-07-01,628.608,796.885
1999-10-01,631.497,822.903
2000-01-01,602.659,808.353
2000-04-01,595.936,801.031
2000-07-01,599.286,776.963
2000-10-01,573.967,759.341
2001-01-01,593.447,751.482
2001-04-01,625.379,764.468
2001-07-01,610.375,694.937
2001-10-01,638.97,659.188
2002-01-01,722.722,705.832
2002-04-01,747.849,768.231
2002-07-01,772.158,831.287
2002-10-01,836.039,922.151
2003-01-01,807.272,939.402
2003-04-01,847.592,939.08
2003-07-01,879.966,1002.684
2003-10-01,918.387,1081.171
2004-01-01,1017.183,1206.185
2004-04-01,1029.643,1268.751
2004-07-01,1071.377,1335.237
2004-10-01,1049.924,1344.039
2005-01-01,1104.414,1642.162
2005-04-01,1133.053,1656.689
2005-07-01,1155.571,1709.452
2005-10-01,1208.145,1816.575
2006-01-01,1254.443,1854.762
2006-04-01,1258.593,1905.439
2006-07-01,1288.079,1946.625
2006-10-01,1262.717,1867.629
2007-01-01,1168.768,1803.019
2007-04-01,1241.923,1875.794
2007-07-01,1213.225,1786.175
2007-10-01,1192.171,1791.645
2008-01-01,1156.248,1623.619
2008-04-01,1142.84,1633.242
2008-07-01,1160.602,1555.041
2008-10-01,899.117,943.079
2009-01-01,1125.534,1297.893
2009-04-01,1126.565,1394.694
2009-07-01,1286.134,1588.807
2009-10-01,1348.642,1741.262
2010-01-01,1428.295,1827.302
2010-04-01,1422.987,1823.027
2010-07-01,1571.136,1925.708
2010-10-01,1586.412,1938.802
2011-01-01,1435.031,1798.958
2011-04-01,1557.726,1865.262
2011-07-01,1615.871,1848.535
2011-10-01,1718.029,1968.023
2012-01-01,1758.696,2256.375
2012-04-01,1729.414,2194.357
2012-07-01,1705.305,2220.271
2012-10-01,1699.163,2190.469
2013-01-01,1699.634,2191.813
2013-04-01,1703.325,2181.01
2013-07-01,1720.44,2226.937
2013-10-01,1751.49,2280.899
2014-01-01,1652.642,2251.736
2014-04-01,1801.772,2377.615
2014-07-01,1889.023,2408.545
2014-10-01,1880.338,2379.115
2015-01-01,1826.631,2290.774
2015-04-01,1799.6,2318.349
2015-07-01,1780.289,2234.367
