lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,marketCap_num,epsForecast_num,lastYearEPS_num
11/06/2024,$2.90,time-not-supplied,TM,Toyota Motor Corp Ltd Ord,"$266,054,629,081",Sep/2025,,N/A,266054629081,,2.9
11/06/2024,$0.90,time-pre-market,NVO,Novo Nordisk A/S,"$215,436,250,000",Sep/2025,$0.77,3,215436250000,0.77,0.9
10/29/2024,$3.23,time-pre-market,MCD,McDonald's Corporation,"$213,517,582,697",Sep/2025,$3.35,11,213517582697,3.35,3.23
11/06/2024,$1.25,time-after-hours,APP,Applovin Corporation,"$205,885,957,654",Sep/2025,$2.37,6,205885957654,2.37,1.25
11/06/2024,$2.26,time-after-hours,QCOM,QUALCOMM Incorporated,"$186,494,360,000",Sep/2025,$2.33,8,186494360000,2.33,2.26
11/06/2024,$0.14,time-after-hours,ARM,Arm Holdings plc,"$170,255,502,559",Sep/2025,$0.14,4,170255502559,0.14,0.14
10/30/2024,$0.17,time-after-hours,HOOD,"Robinhood Markets, Inc.","$120,721,753,865",Sep/2025,$0.51,6,120721753865,0.51,0.17
11/06/2024,$7.07,time-after-hours,MCK,McKesson Corporation,"$104,690,612,056",Sep/2025,$8.92,6,104690612056,8.92,7.07
10/30/2024,$0.38,time-after-hours,DASH,"DoorDash, Inc.","$102,496,856,042",Sep/2025,$0.68,12,102496856042,0.68,0.38
11/07/2024,$1.88,time-after-hours,CRH,CRH PLC,"$78,539,808,038",Sep/2025,$2.15,3,78539808038,2.15,1.88
11/05/2024,$1.48,time-pre-market,EMR,Emerson Electric Company,"$77,520,072,000",Sep/2025,$1.62,7,77520072000,1.62,1.48
11/06/2024,$1.28,time-pre-market,JCI,Johnson Controls International plc,"$72,662,959,258",Sep/2025,$1.20,6,72662959258,1.2,1.28
11/06/2024,$3.34,time-pre-market,COR,"Cencora, Inc.","$66,796,746,341",Sep/2025,$3.79,6,66796746341,3.79,3.34
11/07/2024,$0.56,time-after-hours,FTNT,"Fortinet, Inc.","$65,301,191,332",Sep/2025,$0.55,14,65301191332,0.55,0.56
11/06/2024,$0.89,time-pre-market,SRE,Sempra ,"$60,340,649,956",Sep/2025,$0.93,3,60340649956,0.93,0.89
11/06/2024,$0.32,time-after-hours,ET,Energy Transfer L.P.,"$56,810,879,338",Sep/2025,$0.33,6,56810879338,0.33,0.32
10/30/2024,$1.93,time-after-hours,MET,"MetLife, Inc.","$52,842,970,251",Sep/2025,$2.33,7,52842970251,2.33,1.93
10/30/2024,$3.91,time-after-hours,ALL,Allstate Corporation (The),"$51,452,051,517",Sep/2025,$8.20,4,51452051517,8.2,3.91
11/06/2024,$0.43,time-not-supplied,HMC,"Honda Motor Company, Ltd.","$44,493,769,652",Sep/2025,,N/A,44493769652,,0.43
11/07/2024,($0.01),time-pre-market,CCJ,Cameco Corporation,"$42,186,696,308",Sep/2025,$0.23,4,42186696308,0.23,
11/06/2024,$5.34,time-after-hours,FICO,Fair Isaac Corporation,"$38,552,271,902",Sep/2025,$6.06,6,38552271902,6.06,5.34
11/06/2024,$0.53,time-after-hours,TKO,"TKO Group Holdings, Inc.","$37,150,662,112",Sep/2025,$0.55,5,37150662112,0.55,0.53
11/04/2024,$1.29,time-after-hours,SLF,Sun Life Financial Inc.,"$34,865,762,723",Sep/2025,$1.30,3,34865762723,1.3,1.29
10/30/2024,$4.16,time-pre-market,HUM,Humana Inc.,"$33,901,017,622",Sep/2025,$2.91,10,33901017622,2.91,4.16
11/05/2024,$1.75,time-pre-market,TRGP,"Targa Resources, Inc.","$33,262,204,564",Sep/2025,$2.23,7,33262204564,2.23,1.75
11/04/2024,$1.40,time-pre-market,FIS,"Fidelity National Information Services, Inc.","$32,988,207,138",Sep/2025,$1.48,10,32988207138,1.48,1.4
11/06/2024,$0.36,time-not-supplied,CHT,"Chunghwa Telecom Co., Ltd.","$32,666,607,422",Sep/2025,,N/A,32666607422,,0.36
11/06/2024,$0.42,time-pre-market,IRM,Iron Mountain Incorporated,"$30,515,378,607",Sep/2025,$1.14,5,30515378607,1.14,0.42
11/06/2024,$0.86,time-after-hours,ATO,Atmos Energy Corporation,"$27,923,075,175",Sep/2025,$1.01,3,27923075175,1.01,0.86
11/06/2024,$1.87,time-after-hours,AEE,Ameren Corporation,"$27,557,474,743",Sep/2025,$2.10,4,27557474743,2.1,1.87
11/01/2024,$0.42,time-pre-market,PPL,PPL Corporation,"$26,807,427,559",Sep/2025,$0.46,4,26807427559,0.46,0.42
11/06/2024,$0.39,time-after-hours,NTR,Nutrien Ltd.,"$26,041,624,702",Sep/2025,$0.84,7,26041624702,0.84,0.39
11/06/2024,$0.24,time-after-hours,HUBS,"HubSpot, Inc.","$24,870,620,989",Sep/2025,$0.47,9,24870620989,0.47,0.24
11/06/2024,$2.14,time-after-hours,STE,STERIS plc,"$23,819,953,061",Sep/2025,$2.38,3,23819953061,2.38,2.14
11/06/2024,$0.67,time-pre-market,TEVA,Teva Pharmaceutical Industries Limited,"$23,470,707,762",Sep/2025,$0.66,4,23470707762,0.66,0.67
11/06/2024,$1.16,time-after-hours,PTC,PTC Inc.,"$23,003,792,949",Sep/2025,$1.90,6,23003792949,1.9,1.16
11/12/2024,$0.48,time-pre-market,FWONA,Liberty Media Corporation,"$22,861,757,987",Sep/2025,$0.47,1,22861757987,0.47,0.48
11/12/2024,$0.48,time-pre-market,FWONK,Liberty Media Corporation,"$22,861,757,987",Sep/2025,$0.42,5,22861757987,0.42,0.48
N/A,N/A,time-after-hours,FIG,"Figma, Inc.","$22,436,560,775",Sep/2025,($1.56),8,22436560775,,
10/30/2024,$2.97,time-after-hours,CW,Curtiss-Wright Corporation,"$22,080,125,436",Sep/2025,$3.28,6,22080125436,3.28,2.97
11/06/2024,$1.04,time-pre-market,RPRX,Royalty Pharma plc,"$22,067,315,436",Sep/2025,$1.11,4,22067315436,1.11,1.04
N/A,$4.63,time-after-hours,TPL,Texas Pacific Land Corporation,"$21,020,300,514",Sep/2025,,8,21020300514,,4.63
11/05/2024,$1.10,time-after-hours,DVN,Devon Energy Corporation,"$20,662,740,000",Sep/2025,$0.93,9,20662740000,0.93,1.1
11/08/2024,($0.32),time-pre-market,BEP,Brookfield Renewable Partners L.P.,"$20,551,859,550",Sep/2025,($0.46),3,20551859550,,
10/30/2024,$1.74,time-pre-market,ZBH,"Zimmer Biomet Holdings, Inc.","$20,439,543,629",Sep/2025,$1.88,10,20439543629,1.88,1.74
11/06/2024,$0.58,time-after-hours,COHR,Coherent Corp.,"$20,052,164,504",Sep/2025,$0.85,7,20052164504,0.85,0.58
11/06/2024,$1.41,time-pre-market,GIB,CGI Inc.,"$19,141,002,218",Sep/2025,$1.53,5,19141002218,1.53,1.41
10/30/2024,$2.29,time-pre-market,BG,Bunge Global SA,"$18,785,823,490",Sep/2025,$2.23,2,18785823490,2.23,2.29
11/06/2024,$0.58,time-pre-market,TRMB,Trimble Inc.,"$18,704,370,710",Sep/2025,$0.58,5,18704370710,0.58,0.58
11/06/2024,$0.95,time-not-supplied,CG,The Carlyle Group Inc.,"$18,504,823,042",Sep/2025,$0.98,7,18504823042,0.98,0.95
11/07/2024,$4.72,time-after-hours,CPAY,"Corpay, Inc.","$18,442,358,408",Sep/2025,$5.35,7,18442358408,5.35,4.72
10/31/2024,$0.16,time-after-hours,AMCR,Amcor plc,"$18,143,182,736",Sep/2025,$0.19,6,18143182736,0.19,0.16
11/14/2024,$1.64,time-after-hours,TLN,Talen Energy Corporation,"$18,057,121,149",Sep/2025,$3.84,4,18057121149,3.84,1.64
11/08/2024,($0.32),time-pre-market,BEPC,Brookfield Renewable Corporation,"$16,370,698,706",Sep/2025,($0.01),1,16370698706,,
11/06/2024,($0.24),time-after-hours,IONQ,"IonQ, Inc.","$15,845,201,550",Sep/2025,($0.26),2,15845201550,,
11/06/2024,$0.24,time-after-hours,GFL,GFL Environmental Inc.,"$15,843,532,911",Sep/2025,$0.19,6,15843532911,0.19,0.24
11/07/2024,($0.31),time-pre-market,U,Unity Software Inc.,"$15,155,716,643",Sep/2025,($0.02),5,15155716643,,
11/06/2024,$1.16,time-pre-market,PFGC,Performance Food Group Company,"$15,127,571,595",Sep/2025,$1.16,4,15127571595,1.16,1.16
11/07/2024,$0.18,time-pre-market,DT,"Dynatrace, Inc.","$14,963,754,790",Sep/2025,$0.23,11,14963754790,0.23,0.18
11/07/2024,$0.20,time-pre-market,BSY,"Bentley Systems, Incorporated","$14,862,734,170",Sep/2025,$0.23,4,14862734170,0.23,0.2
11/06/2024,$3.50,time-pre-market,JLL,Jones Lang LaSalle Incorporated,"$14,168,883,019",Sep/2025,$4.24,4,14168883019,4.24,3.5
10/30/2024,$1.55,time-after-hours,CF,"CF Industries Holdings, Inc.","$13,694,813,345",Sep/2025,$2.06,5,13694813345,2.06,1.55
11/06/2024,$1,time-after-hours,LTM,LATAM Airlines Group S.A.,"$13,128,390,710",Sep/2025,$1.26,1,13128390710,1.26,1.0
11/06/2024,($0.21),time-after-hours,JOBY,"Joby Aviation, Inc.","$12,634,286,778",Sep/2025,($0.18),3,12634286778,,
10/29/2024,($0.08),time-after-hours,SNAP,Snap Inc.,"$12,623,049,268",Sep/2025,($0.11),7,12623049268,,
11/06/2024,$0.49,time-after-hours,DUOL,"Duolingo, Inc.","$12,007,172,510",Sep/2025,$0.72,7,12007172510,0.72,0.49
11/08/2024,$0.37,time-pre-market,PAA,"Plains All American Pipeline, L.P.","$11,555,292,146",Sep/2025,$0.34,6,11555292146,0.34,0.37
11/07/2024,$0.13,time-pre-market,ELAN,Elanco Animal Health Incorporated,"$11,178,308,295",Sep/2025,$0.13,8,11178308295,0.13,0.13
11/06/2024,$1.47,time-after-hours,RGLD,"Royal Gold, Inc.","$11,130,677,582",Sep/2025,$2.30,2,11130677582,2.3,1.47
11/06/2024,$0.36,time-after-hours,HST,"Host Hotels & Resorts, Inc.","$11,035,063,192",Sep/2025,$0.33,8,11035063192,0.33,0.36
11/06/2024,($0.94),time-after-hours,RVMD,"Revolution Medicines, Inc.","$10,948,676,938",Sep/2025,($1.39),11,10948676938,,
10/30/2024,($0.11),time-after-hours,PCOR,"Procore Technologies, Inc.","$10,617,129,103",Sep/2025,($0.03),6,10617129103,,
10/30/2024,$1.31,time-after-hours,PAYC,"Paycom Software, Inc.","$10,528,368,142",Sep/2025,$1.46,6,10528368142,1.46,1.31
11/06/2024,$0.91,time-after-hours,UHAL,U-Haul Holding Company,"$10,505,852,810",Sep/2025,$0.65,1,10505852810,0.65,0.91
N/A,$0.91,time-after-hours,UHAL.B,U-Haul Holding Company,"$10,505,852,810",Sep/2025,,8,10505852810,,0.91
11/06/2024,($1.55),time-after-hours,ALB,Albemarle Corporation,"$10,409,055,335",Sep/2025,($0.92),9,10409055335,,
11/06/2024,$4.38,time-pre-market,OC,Owens Corning Inc,"$10,262,773,918",Sep/2025,$3.64,4,10262773918,3.64,4.38
11/06/2024,$0.35,time-after-hours,PR,Permian Resources Corporation,"$9,933,365,873",Sep/2025,$0.30,8,9933365873,0.3,0.35
10/30/2024,$0.37,time-pre-market,TECH,Bio-Techne Corp,"$9,504,079,766",Sep/2025,$0.36,4,9504079766,0.36,0.37
10/31/2024,$0.85,time-after-hours,OTEX,Open Text Corporation,"$9,488,463,864",Sep/2025,$0.94,2,9488463864,0.94,0.85
11/04/2024,$0.45,time-pre-market,NYT,New York Times Company (The),"$9,402,786,971",Sep/2025,$0.54,2,9402786971,0.54,0.45
11/06/2024,$1.72,time-after-hours,MKSI,MKS Inc.,"$9,214,215,212",Sep/2025,$1.80,5,9214215212,1.8,1.72
10/30/2024,$0.85,time-after-hours,PEN,"Penumbra, Inc.","$9,167,915,245",Sep/2025,$0.90,8,9167915245,0.9,0.85
10/30/2024,$2.03,time-after-hours,WTS,"Watts Water Technologies, Inc.","$9,164,126,746",Sep/2025,$2.29,5,9164126746,2.29,2.03
11/06/2024,$0.14,time-after-hours,BROS,Dutch Bros Inc.,"$9,076,489,838",Sep/2025,$0.15,5,9076489838,0.15,0.14
N/A,N/A,time-after-hours,CAI,"Caris Life Sciences, Inc.","$8,768,568,186",Sep/2025,($0.08),8,8768568186,,
11/06/2024,$2.59,time-pre-market,CRL,"Charles River Laboratories International, Inc.","$8,752,741,557",Sep/2025,$2.32,7,8752741557,2.32,2.59
11/06/2024,$0.90,time-pre-market,LINE,"Lineage, Inc.","$8,631,402,567",Sep/2025,$0.65,4,8631402567,0.65,0.9
10/30/2024,$0.80,time-pre-market,PSN,Parsons Corporation,"$8,496,517,513",Sep/2025,$0.65,4,8496517513,0.65,0.8
11/06/2024,$5.68,time-after-hours,PRI,"Primerica, Inc.","$8,435,027,027",Sep/2025,$5.52,6,8435027027,5.52,5.68
11/12/2024,$0.16,time-pre-market,LLYVK,Liberty Media Corporation,"$8,378,850,438",Sep/2025,$1.17,1,8378850438,1.17,0.16
11/06/2024,$5.86,time-after-hours,JAZZ,Jazz Pharmaceuticals plc,"$8,359,997,056",Sep/2025,$4.80,9,8359997056,4.8,5.86
11/12/2024,$0.16,time-pre-market,LLYVA,Liberty Media Corporation,"$8,126,170,991",Sep/2025,$1.17,1,8126170991,1.17,0.16
11/06/2024,$0.03,time-after-hours,HL,Hecla Mining Company,"$8,019,704,027",Sep/2025,$0.11,1,8019704027,0.11,0.03
11/06/2024,($0.26),time-pre-market,SUN,Sunoco LP,"$8,016,473,820",Sep/2025,$1.54,2,8016473820,1.54,
11/06/2024,$1,time-after-hours,APA,APA Corporation,"$7,903,502,901",Sep/2025,$0.74,7,7903502901,0.74,1.0
11/06/2024,$0.07,time-after-hours,LYFT,"Lyft, Inc.","$7,893,094,047",Sep/2025,$0.09,5,7893094047,0.09,0.07
11/06/2024,$0.09,time-after-hours,EQX,Equinox Gold Corp.,"$7,856,513,261",Sep/2025,$0.11,1,7856513261,0.11,0.09
11/06/2024,$0.04,time-after-hours,KVYO,"Klaviyo, Inc.","$7,799,593,542",Sep/2025,$0,5,7799593542,0.0,0.04
11/07/2024,$0.12,time-pre-market,SRAD,Sportradar Group AG,"$7,660,184,907",Sep/2025,$0.10,6,7660184907,0.1,0.12
