lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
N/A,N/A,time-after-hours,CRWV,"CoreWeave, Inc.","$56,552,253,911",Sep/2025,($0.54),1,,,1.0,2025-11-10
10/25/2024,$0.31,time-pre-market,B,Barrick Mining Corporation,"$53,980,333,745",Sep/2025,$0.57,4,0.57,0.31,4.0,2025-11-10
11/07/2024,$0.31,time-pre-market,B,Barrick Mining Corporation,"$53,980,333,745",Sep/2025,$0.57,4,0.57,0.31,4.0,2025-11-10
11/12/2024,$1,time-after-hours,OXY,Occidental Petroleum Corporation,"$39,456,344,859",Sep/2025,$0.48,8,0.48,1.0,8.0,2025-11-10
11/12/2024,($0.10),time-after-hours,RKLB,Rocket Lab Corporation,"$27,117,152,684",Sep/2025,($0.09),3,,,3.0,2025-11-10
11/14/2024,($0.24),time-after-hours,ASTS,"AST SpaceMobile, Inc.","$25,114,191,154",Sep/2025,($0.18),6,,,6.0,2025-11-10
N/A,N/A,time-pre-market,VG,"Venture Global, Inc.","$19,350,735,765",Sep/2025,$0.23,1,0.23,,1.0,2025-11-10
11/21/2024,$0.15,time-pre-market,BEKE,KE Holdings Inc,"$18,875,767,443",Sep/2025,$0.09,2,0.09,0.15,2.0,2025-11-10
11/12/2024,$0.92,time-pre-market,TSN,"Tyson Foods, Inc.","$18,514,238,899",Sep/2025,$0.85,3,0.85,0.92,3.0,2025-11-10
11/12/2024,$1.61,time-after-hours,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,"$16,903,199,036",Sep/2025,,N/A,,1.61,,2025-11-10
10/29/2024,$2.53,time-pre-market,KSPI,Joint Stock Company Kaspi.kz,"$13,914,116,343",Sep/2025,$4.30,2,4.3,2.53,2.0,2025-11-10
11/12/2024,($0.37),time-pre-market,ROIV,Roivant Sciences Ltd.,"$13,568,860,233",Sep/2025,($0.34),2,,,2.0,2025-11-10
11/12/2024,($0.08),time-after-hours,RGTI,"Rigetti Computing, Inc. ","$11,404,130,681",Sep/2025,($0.05),2,,,2.0,2025-11-10
N/A,$0.49,time-after-hours,PSKY,Paramount Skydance Corporation,"$10,005,497,279",Sep/2025,$0.49,1,0.49,0.49,1.0,2025-11-10
11/11/2024,$0.24,time-pre-market,MNDY,monday.com Ltd.,"$9,782,498,840",Sep/2025,$0.10,3,0.1,0.24,3.0,2025-11-10
11/12/2024,$0.42,time-pre-market,CART,Maplebear Inc.,"$9,607,593,853",Sep/2025,$0.50,10,0.5,0.42,10.0,2025-11-10
11/13/2024,$0.49,time-pre-market,TSEM,Tower Semiconductor Ltd.,"$9,214,333,566",Sep/2025,$0.47,2,0.47,0.49,2.0,2025-11-10
11/13/2024,$0.06,time-after-hours,SARO,"StandardAero, Inc.","$9,197,932,260",Sep/2025,$0.20,3,0.2,0.06,3.0,2025-11-10
N/A,N/A,time-not-supplied,MTSR,"Metsera, Inc.","$7,687,964,271",Sep/2025,($0.56),1,,,1.0,2025-11-10
