lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate,eps_ratio
11/06/2024,$0.19,time-after-hours,ARDT,"Ardent Health, Inc.","$2,083,629,868",Sep/2025,$0.42,6,0.42,0.19,6.0,2025-11-12,2.2105263157894735
11/12/2024,$0.10,time-pre-market,ONON,On Holding AG,"$22,977,365,117",Sep/2025,$0.20,6,0.2,0.1,6.0,2025-11-12,2.0
11/05/2024,$0.32,time-after-hours,PAAS,Pan American Silver Corp.,"$11,999,470,576",Sep/2025,$0.49,9,0.49,0.32,9.0,2025-11-12,1.53125
11/12/2024,$0.42,time-pre-market,CART,Maplebear Inc.,"$9,607,593,853",Sep/2025,$0.50,10,0.5,0.42,10.0,2025-11-10,1.1904761904761905
11/14/2024,$2.26,time-not-supplied,NICE,NICE Ltd,"$8,214,257,110",Sep/2025,$2.58,7,2.58,2.26,7.0,2025-11-13,1.1415929203539825
11/13/2024,$0.75,time-after-hours,CSCO,"Cisco Systems, Inc.","$285,895,203,641",Oct/2025,$0.80,7,0.8,0.75,7.0,2025-11-12,1.0666666666666667
11/07/2024,$9.19,time-pre-market,TDG,Transdigm Group Incorporated,"$72,802,877,711",Sep/2025,$9.61,6,9.61,9.19,6.0,2025-11-12,1.0457018498367792
11/05/2024,$0.32,time-pre-market,GFS,GlobalFoundries Inc.,"$19,031,259,368",Sep/2025,$0.31,6,0.31,0.32,6.0,2025-11-12,0.96875
11/14/2024,$2.32,time-after-hours,AMAT,"Applied Materials, Inc.","$183,379,120,271",Oct/2025,$2.11,10,2.11,2.32,10.0,2025-11-13,0.9094827586206896
11/14/2024,$1.14,time-pre-market,DIS,Walt Disney Company (The),"$200,415,684,365",Sep/2025,$1.03,8,1.03,1.14,8.0,2025-11-13,0.9035087719298247
11/12/2024,$0.91,time-pre-market,BXSL,Blackstone Secured Lending Fund,"$5,023,777,853",Sep/2025,$0.80,6,0.8,0.91,6.0,2025-11-10,0.8791208791208791
11/12/2024,$0.18,time-after-hours,CAE,CAE Inc,"$8,726,795,700",Sep/2025,$0.14,11,0.14,0.18,11.0,2025-11-11,0.7777777777777779
11/13/2024,$0.13,time-pre-market,HBM,Hudbay Minerals Inc.,"$5,878,366,594",Sep/2025,$0.08,15,0.08,0.13,15.0,2025-11-12,0.6153846153846154
11/12/2024,$1,time-after-hours,OXY,Occidental Petroleum Corporation,"$39,456,344,859",Sep/2025,$0.48,8,0.48,1.0,8.0,2025-11-10,0.48
