date,RSXFS,RSXFS_MoM_%,RSXFS_YoY_%,RRSFS,RRSFS_MoM_%,RRSFS_YoY_%
1992-01-01,142419.000,,,115095.000,,
1992-02-01,142584.000,0.116,,114855.000,-0.209,
1992-03-01,142120.000,-0.325,,114052.000,-0.699,
1992-04-01,143659.000,1.083,,114721.000,0.587,
1992-05-01,144239.000,0.404,,114868.000,0.128,
1992-06-01,145273.000,0.717,,115064.000,0.171,
1992-07-01,146743.000,1.012,,115911.000,0.736,
1992-08-01,146070.000,-0.459,,115349.000,-0.485,
1992-09-01,147932.000,1.275,,116485.000,0.985,
1992-10-01,149346.000,0.956,,117193.000,0.608,
1992-11-01,149131.000,-0.144,,116906.000,-0.245,
1992-12-01,150578.000,0.970,,117843.000,0.801,
1993-01-01,152329.000,1.163,6.958,118697.000,0.725,3.130
1993-02-01,151742.000,-0.385,6.423,117987.000,-0.598,2.727
1993-03-01,150525.000,-0.802,5.914,117015.000,-0.824,2.598
1993-04-01,154720.000,2.787,7.699,119682.000,2.279,4.324
1993-05-01,155537.000,0.528,7.833,119945.000,0.220,4.420
1993-06-01,155353.000,-0.118,6.939,119902.000,-0.036,4.205
1993-07-01,158267.000,1.876,7.853,121676.000,1.480,4.974
1993-08-01,157425.000,-0.532,7.774,121017.000,-0.542,4.914
1993-09-01,158535.000,0.705,7.167,121799.000,0.646,4.562
1993-10-01,159773.000,0.781,6.982,121970.000,0.140,4.076
1993-11-01,162004.000,1.396,8.632,123122.000,0.944,5.317
1993-12-01,163258.000,0.774,8.421,123771.000,0.527,5.030
1994-01-01,162369.000,-0.545,6.591,122772.000,-0.807,3.433
1994-02-01,165075.000,1.667,8.787,124813.000,1.662,5.785
1994-03-01,168330.000,1.972,11.829,126935.000,1.700,8.478
1994-04-01,168262.000,-0.040,8.753,126646.000,-0.228,5.819
1994-05-01,167412.000,-0.505,7.635,125841.000,-0.636,4.916
1994-06-01,169337.000,1.150,9.001,126978.000,0.904,5.901
1994-07-01,169514.000,0.105,7.106,126726.000,-0.198,4.150
1994-08-01,172332.000,1.662,9.469,128034.000,1.032,5.798
1994-09-01,174018.000,0.978,9.766,128992.000,0.748,5.906
1994-10-01,175309.000,0.742,9.724,129795.000,0.623,6.416
1994-11-01,175761.000,0.258,8.492,129790.000,-0.004,5.416
1994-12-01,176168.000,0.232,7.908,129873.000,0.064,4.930
1995-01-01,177136.000,0.549,9.095,130171.000,0.229,6.027
1995-02-01,174560.000,-1.454,5.746,127944.000,-1.711,2.509
1995-03-01,176376.000,1.040,4.780,129087.000,0.893,1.695
1995-04-01,176353.000,-0.013,4.809,128663.000,-0.328,1.593
1995-05-01,179020.000,1.512,6.934,130217.000,1.208,3.477
1995-06-01,181382.000,1.319,7.113,131485.000,0.974,3.549
1995-07-01,180019.000,-0.751,6.197,130478.000,-0.766,2.961
1995-08-01,181787.000,0.982,5.487,131509.000,0.790,2.714
1995-09-01,182074.000,0.158,4.629,131507.000,-0.002,1.950
1995-10-01,181411.000,-0.364,3.481,130682.000,-0.627,0.683
1995-11-01,184327.000,1.607,4.874,132430.000,1.338,2.034
1995-12-01,184841.000,0.279,4.923,132574.000,0.109,2.080
1996-01-01,184636.000,-0.111,4.234,131734.000,-0.634,1.201
1996-02-01,187576.000,1.592,7.456,133468.000,1.316,4.318
1996-03-01,188237.000,0.352,6.725,133537.000,0.052,3.447
1996-04-01,189778.000,0.819,7.613,134077.000,0.404,4.208
1996-05-01,191544.000,0.931,6.996,135011.000,0.697,3.682
1996-06-01,189960.000,-0.827,4.729,133678.000,-0.987,1.668
1996-07-01,191113.000,0.607,6.163,134285.000,0.454,2.918
1996-08-01,191139.000,0.014,5.144,134126.000,-0.118,1.990
1996-09-01,193303.000,1.132,6.167,135214.000,0.811,2.819
1996-10-01,195420.000,1.095,7.722,136236.000,0.756,4.250
1996-11-01,194860.000,-0.287,5.714,135581.000,-0.481,2.379
1996-12-01,195318.000,0.235,5.668,135569.000,-0.009,2.259
1997-01-01,197447.000,1.090,6.939,136841.000,0.938,3.877
1997-02-01,198891.000,0.731,6.032,137500.000,0.482,3.021
1997-03-01,200352.000,0.735,6.436,138416.000,0.666,3.654
1997-04-01,197212.000,-1.567,3.917,136288.000,-1.537,1.649
1997-05-01,196937.000,-0.139,2.816,136192.000,-0.070,0.875
1997-06-01,199311.000,1.205,4.923,137474.000,0.941,2.840
1997-07-01,201751.000,1.224,5.566,139018.000,1.123,3.525
1997-08-01,201892.000,0.070,5.626,138756.000,-0.188,3.452
1997-09-01,202992.000,0.545,5.012,139274.000,0.373,3.003
1997-10-01,203055.000,0.031,3.907,138885.000,-0.279,1.944
1997-11-01,202778.000,-0.136,4.063,138354.000,-0.382,2.045
1997-12-01,203837.000,0.522,4.362,139206.000,0.616,2.683
1998-01-01,204505.000,0.328,3.575,139478.000,0.195,1.927
1998-02-01,204207.000,-0.146,2.673,139349.000,-0.092,1.345
1998-03-01,205311.000,0.541,2.475,140055.000,0.507,1.184
1998-04-01,208683.000,1.642,5.817,142052.000,1.426,4.229
1998-05-01,209165.000,0.231,6.209,142063.000,0.008,4.311
1998-06-01,211222.000,0.983,5.976,143248.000,0.834,4.200
